CustomerId,total_transaction_amount,avg_transaction_amount,transaction_count,std_transaction_amount,is_high_risk
CustomerId_1,-10000.0,-10000.0,1,0.0,1
CustomerId_10,-10000.0,-10000.0,1,0.0,1
CustomerId_1001,20000.0,4000.0,5,6558.963332722634,1
CustomerId_1002,4225.0,384.09090909090907,11,560.4989660196449,0
CustomerId_1003,20000.0,3333.3333333333335,6,6030.478145774734,0
CustomerId_1004,2000.0,2000.0,1,0.0,1
CustomerId_1005,48800.0,5422.222222222223,9,5983.6815126178335,1
CustomerId_1006,1000.0,1000.0,1,0.0,1
CustomerId_1007,28000.0,28000.0,1,0.0,1
CustomerId_1008,20000.0,10000.0,2,0.0,1
CustomerId_1009,500.0,500.0,1,0.0,0
CustomerId_1010,26335.0,3762.1428571428573,7,4971.798816946486,1
CustomerId_1012,124906.0,1687.918918918919,74,3441.4863138083697,0
CustomerId_1014,763880.0,95485.0,8,119332.84340149493,1
CustomerId_1016,20000.0,4000.0,5,6745.368781616021,0
CustomerId_1020,292195.0,1439.384236453202,203,2500.4482251946347,0
CustomerId_1021,5000.0,5000.0,1,0.0,1
CustomerId_1022,7000.0,7000.0,1,0.0,0
CustomerId_1025,17200.0,1075.0,16,1803.6536992079898,0
CustomerId_1027,26770.0,1912.142857142857,14,3484.2705418482087,0
CustomerId_1028,500.0,500.0,1,0.0,0
CustomerId_1029,51000.0,5666.666666666667,9,8692.669325356856,0
CustomerId_1030,2350.0,293.75,8,713.8614811612364,0
CustomerId_1031,106838.8,2136.776,50,4615.395748241059,0
CustomerId_1032,2000.0,1000.0,2,0.0,0
CustomerId_1033,950.0,475.0,2,742.4621202458749,1
CustomerId_1034,40508.0,2531.75,16,7896.613345816885,0
CustomerId_1036,-50.0,-16.666666666666668,3,1000.4165798972613,1
CustomerId_1038,19000.0,3800.0,5,6685.805860178712,0
CustomerId_1039,248895.0,8296.5,30,10395.940284387541,0
CustomerId_1040,50000.0,50000.0,1,0.0,1
CustomerId_1043,14000.0,2333.3333333333335,6,6976.14984548545,1
CustomerId_1044,21848.5,1365.53125,16,2064.1874064527988,1
CustomerId_1048,1000.0,1000.0,1,0.0,1
CustomerId_1050,5000.0,5000.0,1,0.0,1
CustomerId_1052,56900.0,8128.571428571428,7,18504.47822246589,0
CustomerId_1053,13788.0,1969.7142857142858,7,1911.4446294435452,1
CustomerId_1054,159000.0,3057.6923076923076,52,6112.9647232247835,0
CustomerId_1055,5850.0,1170.0,5,1338.6560424545207,1
